Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,578142444,7417.274366056046,6356578,81.55167216063427,972954,6405080,82.17392822405938,14843,0.19042816274421445,2491,
United States of America,Americas,90563041,27360.216,907214,274.081,189192,1021355,308.564,2942,0.889,950
India,South-East Asia,44087037,3194.703,127716,9.255,19893,526530,38.154,318,0.023,53
Brazil,Americas,33890428,15943.979,230549,108.463,34464,679010,319.445,1516,0.713,295
France,Europe,32975495,50700.83,257874,396.489,32965,148916,228.963,566,0.87,83
Germany,Europe,31119199,37417.855,375700,451.743,51300,144552,173.81,98,0.118,4
The United Kingdom,Europe,23369355,34424.408,55155,81.246,5095,185052,272.592,536,0.79,0
Italy,Europe,21170600,35496.432,333367,558.952,45956,172568,289.342,1129,1.893,171
Republic of Korea,Western Pacific,20160154,39322.166,624957,1218.972,107894,25144,49.043,187,0.365,34
Russian Federation,Europe,18653867,12782.359,88316,60.518,17126,382604,262.175,291,0.199,44
Türkiye,Europe,15889495,18840.018,0,0,0,99341,117.788,0,0,0
Japan,Western Pacific,13344898,10551.29,1456841,1151.867,231597,32976,26.073,806,0.637,157
Spain,Europe,13245996,27984.924,45435,95.991,0,110713,233.904,598,1.263,0
Viet Nam,Western Pacific,10785122,11080.008,12142,12.474,2096,43094,44.272,2,0.002,0
Argentina,Americas,9560307,21153.099,52745,116.703,0,129369,286.241,91,0.201,0
Australia,Western Pacific,9517174,37322.421,283933,1113.468,41237,12026,47.161,639,2.506,65
Netherlands,Europe,8344857,47938.051,20473,117.61,2919,22506,129.288,24,0.138,6
Iran (Islamic Republic of),Eastern Mediterranean,7418615,8832.426,59126,70.394,8540,142209,169.311,414,0.493,75
Mexico,Americas,6782980,5260.866,56276,43.648,21363,327883,254.305,282,0.219,133
Colombia,Americas,6265798,12314.155,18164,35.698,0,140845,276.802,242,0.476,0
Indonesia,South-East Asia,6229315,2277.432,37651,13.765,6527,157060,57.421,103,0.038,14
Poland,Europe,6084876,16030.491,22935,60.422,4478,116628,307.254,81,0.213,20
China,Western Pacific,5708607,388.001,167183,11.363,25946,23782,1.616,348,0.024,36
Portugal,Europe,5352651,51988.134,20983,203.799,3885,24648,239.396,64,0.622,10
Ukraine,Europe,5023710,11487.03,0,0,0,108713,248.579,0,0,0
Austria,Europe,4815584,54101.218,50259,564.64,8542,20396,229.141,74,0.831,2
Malaysia,Western Pacific,4692800,14499.166,28587,88.324,5330,35995,111.212,53,0.164,10
Thailand,South-East Asia,4598725,6588.433,14655,20.996,2166,31492,45.117,202,0.289,29
Israel,Europe,4594007,53075.908,24032,277.649,2974,11399,131.696,28,0.323,0
Greece,Europe,4474616,41746.409,122230,1140.358,0,31377,292.735,355,3.312,0
Belgium,Europe,4425201,38405.069,9721,84.366,0,32263,280.001,35,0.304,0
Chile,Americas,4262916,22300.017,58092,303.889,9860,59633,311.95,228,1.193,4
Canada,Americas,4056133,10746.957,32893,87.152,0,42681,113.086,253,0.67,0
South Africa,Africa,4004555,6752.054,672,1.133,0,101982,171.951,15,0.025,0
Czechia,Europe,3994274,37350.821,15494,144.886,2669,40531,379.009,86,0.804,4
Switzerland,Europe,3953878,45685.182,11860,137.037,0,13449,155.397,10,0.116,0
Peru,Americas,3923744,11900.283,64465,195.515,9238,214407,650.273,295,0.895,43
Philippines,Western Pacific,3785869,3454.857,25381,23.162,3047,60762,55.449,68,0.062,13
Denmark,Europe,3237406,55599.137,10689,183.573,1830,6687,114.842,64,1.099,5
Romania,Europe,3089651,15984.67,55785,288.61,9106,66090,341.924,167,0.864,41
Sweden,Europe,2544464,24637.541,5902,57.148,1162,19358,187.44,35,0.339,0
Iraq,Eastern Mediterranean,2448484,6087.35,10383,25.814,1252,25321,62.952,17,0.042,3
Serbia,Europe,2142148,30925.931,40980,591.623,6196,16313,235.509,74,1.068,17
